Sector,Ticker
Semi-Conductors,SOXX
Proshare Short 20 year Treasury,TBF
Communication Services,XLC
Gold,GLD
Defense,ITA
Commodities,PDBC
Direxion Daily Aerospace & Defense Bull 3X Shares,DFEN
Insurance,IAK
Medium Caps,VB
Total Stock Market,VTI
Bitcoin ETF,GBTC
Energy,XLE
20 years+ Bond Long,TLT
ProShares Short S&P500,SH
Oil & Gas,IEO
Consumer Staples,XLP
Financial,XLF
Industrials,XLI
Basic Materials,XLB
Utilities,XLU
Regional Banks,IAT
Home Constructors,ITB
Digital Industry,DAPP
Technology,XLK
Brazil ETF,EWZ
China ETF,MCHI
UK ETF,EWU
Small Caps,VTWO
Japan ETF,EWJ
Malalysia ETF,EWM
Emerging Market ETF,EEM
ProShares UltraShort NASDAQ,SQQQ
ProShares UltraPro Long Nasdaq,TQQQ
US Oil fund,USO
Nasdaq,QQQ
Direxion Daily 20+ Year Treasury Bull 3X Shares,TMF
ProShares UltraShort SP500,SDS
ProShares UltraShort Blomberg Crude,SCO
ProShares UltraLong Blomberg Crude,UCO
Health Care,XLV
ProShares UltraShort 20+ Year Treasury,TBT
Direxion Daily Homebuilders & Supplies Bull 3X Shares,NAIL
Real Estate,XLRE
Consumer Discretionary,XLY
S&P 500,SPY
Biotech,XBI
Vanguard SP500,VOO
Tidal Trust - Roundhill Generative AI & Technology,CHAT
IShares Robotics and AI Multisector,ARTY
iShares Silver Trust,SLV
United States Natural Gas Fund,UNG
ProShares Short Bitcoin Strategy,BITI
